id,code,name,reconcile,user_type_id:id,chart_template_id:id
co_puc_110505,110505,CajaGeneral,FALSE,account.data_account_type_liquidity,l10n_co_chart_template_generic
co_puc_120535,120535,ComercioalPorMayoryalPorMenor,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_129595,129595,Diversas,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_130505,130505,Nacionales,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_130507,130507,Nacionales,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_130510,130510,DelExterior,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_131010,131010,CompañíasVinculadas,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_132510,132510,aAccionistas,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_133005,133005,aProveedores,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_133010,133010,aContratistas,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_133015,133015,aTrabajadores,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_133505,133505,ParaImportaciones,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_135505,135505,AnticipodeImpuestosdeRentayComplementarios,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_135510,135510,AnticipodeImpuestosdeIndustriayComercio,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_135515,135515,RetenciónenlaFuente,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_135517,135517,ImpuestoaLasVentasRetenido,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_135518,135518,ImpuestodeIndustriayComercioRetenido,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_135520,135520,SobrantesenLiquidaciónPrivadadeImpuestos,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_136005,136005,aCompañíasAseguradoras,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_136010,136010,aTransportadores,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_136015,136015,PorTiquetesAéreos,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_136515,136515,Educación,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_136525,136525,CalamidadDoméstica,TRUE,account.data_account_type_receivable,l10n_co_chart_template_generic
co_puc_138095,138095,Otros,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_139005,139005,DeudasdeDifícilCobro,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_139905,139905,Clientes,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_143005,143005,ProductosManufacturados,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_149905,149905,ParaObsolescencia,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_150405,150405,Urbanos,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_151605,151605,Edificios,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_152099,152099,AjustesPorInflación,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_152405,152405,MueblesyEnseres,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_152499,152499,AjustesPorInflación,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_152805,152805,EquiposdeProcesamientodeDatos,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_152899,152899,AjustesPorInflación,FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
