"id","code","name","tag_ids/id","user_type_id/id","chart_template_id/id","reconcile"
"chart_skr04_50","0050","AusstehendenichteingeforderteEinlagen(Komplementär)","l10n_de.tag_de_asset_bs_B_II_4","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_60","0060","AusstehendeeingeforderteEinlagen(Komplementär)","l10n_de.tag_de_asset_bs_B_II_4","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_70","0070","AusstehendenichteingeforderteEinlagen(Kommanditist)","l10n_de.tag_de_asset_bs_B_II_4","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_80","0080","AusstehendeeingeforderteEinlagen(Kommanditist)","l10n_de.tag_de_asset_bs_B_II_4","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_90","0090","RückständigefälligeEinzahlungenaufGeschäftsanteile","l10n_de.tag_de_asset_bs_B_II_4","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_100","0100","EntgeltlicherworbeneKonzessionenundgewerblicheSchutzrechte","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_110","0110","Konzessionen","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_120","0120","GewerblicheSchutzrechte","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_130","0130","ÄhnlicheRechteundWerte","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_135","0135","EDV-Software","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_140","0140","LizenzenangewerblichenSchutzrechten","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_143","0143","SelbstgeschaffeneimmaterielleVermögensgegenstände","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_144","0144","EDV-Software","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_145","0145","LizenzenundFranchiseverträge","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_146","0146","KonzessionenundgewerblicheSchutzrechte","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_147","0147","Rezepte,Verfahren,Prototypen","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_148","0148","ImmaterielleVermögensgegenständeinEntwicklung","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_150","0150","Geschäfts-oderFirmenwert","l10n_de.tag_de_asset_bs_A_I_3","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_170","0170","AnzahlungenaufimmaterielleVermögensgegenstände","l10n_de.tag_de_asset_bs_A_I_4","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_179","0179","AnzahlungenaufGeschäfts-oderFirmenwert","l10n_de.tag_de_asset_bs_A_I_4","account.data_account_type_non_current_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_200","0200","Grundstücke,grundstücksgleicheRechteundBauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_210","0210","GrundstücksgleicheRechteohneBauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_215","0215","UnbebauteGrundstücke","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr04.l10n_chart_de_skr04",""
