"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_activa_account_1115001","PAPELESCOMERCIALES","1115001","account.data_account_type_equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1115002","INVERSIONESTEMPORALES","1115002","account.data_account_type_equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1115003","INVERSIONESENBONOSM.N.","1115003","account.data_account_type_equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1115004","INVERSIONESENBONOSM.E.","1115004","account.data_account_type_equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1121001","EFECTOSPORCOBRARNACIONALES","1121001","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122001","CUENTASPORCOBRARCLIENTES","1122001","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122002","COBROANTICIPOCLIENTES","1122002","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122003","CUENTASPORCOBRARCLIENTES(POS)","1122003","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122004","CUENTASPORCOBRARMAYORISTA","1122004","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122005","CUENTASPORCOBRARDETALLISTA","1122005","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1124001","PROVISIONINCOBRALESNACIONALES","1124001","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1124002","PROVINCIONINCOBRABLESEXTERIOR","1124002","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125001","CUENTASPORCOBRARCLIENTES","1125001","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125002","PRESTAMOSPERSONALES","1125002","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125003","CUENTASPORCOBRARSOCIOS","1125003","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125004","VIATICOSVENDEDORES","1125004","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125006","VACACIONES","1125006","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125007","UTILIDADES","1125007","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125008","SEGURODEVEHICULOS","1125008","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127001","ACCESORIOSAMDCOMPUTADORAS,C.A.","1127001","account.data_account_type_fixed_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127002","COMERCIALIZADORAM321,C.A.","1127002","account.data_account_type_fixed_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127003","AMDCOMPUTERSHOP,C.A.","1127003","account.data_account_type_fixed_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127004","COMERCIALIZADORAJGV3000,C.A.","1127004","account.data_account_type_fixed_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127005","COMERCIALIZADORALVGELECTRONIC,C.A.","1127005","account.data_account_type_fixed_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1128001","CUENTASPORPAGARSOCIOS","1128001","account.data_account_type_payable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129001","ADELANTOAPROVEEDORES","1129001","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129002","ENTESGUBERNAMENTALES","1129002","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129004","DEPOSITOSVARIOS","1129004","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129005","RECLAMOALSEGURO","1129005","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129009","0TRASCUENTASXCOBRAROTROSDEUDORES","1129009","account.data_account_type_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131001","INVENTARIOFINAL","1131001","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131002","INVENTARIOSDEMERCANCIANACIONAL","1131002","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131003","INVENTARIOSDEMERCANCIAEXTERIOR","1131003","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131009","INVENTARIOMERCANCIAACTUALIZACIONDELVALOR","1131009","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1134001","MERCANCIAENTRANSITOS","1134001","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1141001","PUBLICIDAD","1141001","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1141002","SEGUROPREPAGADOS","1141002","account.data_account_type_current_assets","l10n_ve.ve_chart_template_amd","True"
