"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"pcg_1011","Capitalsouscrit-nonappelé","101100","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1012","Capitalsouscrit-appelénonversé","101200","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1013","Capitalsouscritappelé,versé","101300","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_10131","Capitalnonamorti","101310","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_10132","Capitalamorti","101320","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1018","Capitalsouscritsoumisàdesréglementationsparticulières","101800","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_102","Fondsfiduciaires","102000","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1041","Primesd'émission","104100","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1042","Primesdefusion","104200","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1043","Primesd'apport","104300","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1044","Primesdeconversiond'obligationsenactions","104400","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1045","Bonsdesouscriptiond'actions","104500","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1051","Réservespécialederéévaluation","105100","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1052","Écartderéévaluationlibre","105200","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1053","Réservederéévaluation","105300","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1055","Écartsderéévaluation(autresopérationslégales)","105500","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1057","AutresécartsderéévaluationenFrance","105700","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1058","Autresécartsderéévaluationàl'étranger","105800","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1061","Réservelégale","106100","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_10611","Réservelégaleproprementdite","106110","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_10612","Plus-valuesnettesàlongterme","106120","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1062","Réservesindisponibles","106200","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1063","Réservesstatutairesoucontractuelles","106300","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
"pcg_1064","Réservesréglementées","106400","account.data_account_type_equity","l10n_fr.l10n_fr_pcg_chart_template","","False"
