"code","id","chart_template_id/id","user_type_id/id","reconcile","name","note"
"0000","kp_rrif0000","l10n_hr_chart_template_rrif","account.data_account_type_current_assets",,"Potraživanjazaupisanianeuplaćenidioničkikapital(analitikapoupisnicima)-a1","Potraživanjazaupisanianeuplaćenidioničkikapital(analitikapoupisnicima)-Analitika1"
"0010","kp_rrif0010","l10n_hr_chart_template_rrif","account.data_account_type_current_assets",,"Potraživanjaizponovljeneemisijedionicazaupisaneaneuplaćenesvotekapitalapoemisijamadionica-a1","Potraživanjaizponovljeneemisijedionicazaupisaneaneuplaćenesvotekapitala(razradapoemisijamadionica)-Analitika1"
"0020","kp_rrif0020","l10n_hr_chart_template_rrif","account.data_account_type_current_assets",,"Potraživanjazaupisanianeuplaćenikapitalud.o.o.(analitikapočlanovimadruštva)-a1","Potraživanjazaupisanianeuplaćenikapitalud.o.o.(analitikapočlanovimadruštva)-Analitika1"
"0030","kp_rrif0030","l10n_hr_chart_template_rrif","account.data_account_type_current_assets",,"Potraživanjazatemeljniulogkomanditora-a1","Potraživanjazatemeljniulogkomanditora-Analitika1"
"0040","kp_rrif0040","l10n_hr_chart_template_rrif","account.data_account_type_current_assets",,"Potraživanjezaostaleulogeukapital-a1","Potraživanjezaostaleulogeukapital-Analitika1"
"0100","kp_rrif0100","l10n_hr_chart_template_rrif","account.data_account_type_non_current_assets",,"Izdatcizarazvojprojekta(konstruiranjeitest.prototipovaimodela,alata,napravaikalupaisl.","Izdatcizarazvojprojekta(konstruiranjeitestiranjeprototipovaimodela,dizajnalata,napravaikalupaisl."
"0101","kp_rrif0101","l10n_hr_chart_template_rrif","account.data_account_type_non_current_assets",,"Izdatcizarazvojproizvoda(uzorci,recepture,troškovipronalazakaisl.).","Izdatcizarazvojproizvoda(uzorci,recepture,troškovipronalazakaisl.)."
"0102","kp_rrif0102","l10n_hr_chart_template_rrif","account.data_account_type_non_current_assets",,"Izdatcizaistraživanjemineralnihblaga(MSFI6)","Izdatcizaistraživanjemineralnihblaga(MSFI6)"
"0110","kp_rrif0110","l10n_hr_chart_template_rrif","account.data_account_type_non_current_assets",,"Ulaganjeukoncesijeidozvole(zaresurse,ceste,ribarenje,linije,sirovine,itd.)","Ulaganjeukoncesijeidozvole(zaresurse,ceste,ribarenje,linije,sirovine,itd.)"
"0111","kp_rrif0111","l10n_hr_chart_template_rrif","account.data_account_type_non_current_assets",,"Ulaganjeupatenteitehnologiju,inovacije,teh.dokumentacijuzaproizv.proizvodailipružanjeusluga","Ulaganjeupatenteitehnologiju,inovacije,tehničkuitehnološkudokumentacijuzaproizvodnjuproizvodailipružanjeusluga"
"0112","kp_rrif0112","l10n_hr_chart_template_rrif","account.data_account_type_non_current_assets",,"Ulaganjeulicencijuifrenčajz(Franchising)","Ulaganjeulicencijuifrenčajz(Franchising)"
