id,code,name,user_type_id/id,reconcile,chart_template_id/id
100020,100020,StockValuationAccount,account.data_account_type_current_assets,True,default_chart_template
100030,100030,StockWorkInProgress,account.data_account_type_current_assets,False,default_chart_template
100040,100040,StockFinishedGoods,account.data_account_type_current_assets,False,default_chart_template
100050,100050,StockDeliveredControlAccount,account.data_account_type_current_assets,True,default_chart_template
100060,100060,PurchaseTaxControlAccount,account.data_account_type_current_assets,False,default_chart_template
100070,100070,OtherCurrentAssets,account.data_account_type_current_assets,False,default_chart_template
110010,110010,DebtorsControlAccount,account.data_account_type_receivable,True,default_chart_template
110020,110020,SundryDebtors,account.data_account_type_receivable,True,default_chart_template
110030,110030,DebtorsControlAccount(PoS),account.data_account_type_receivable,True,default_chart_template
124010,124010,CreditCardMerchantAccount,account.data_account_type_liquidity,False,default_chart_template
126010,126010,CashInHand,account.data_account_type_liquidity,False,default_chart_template
130010,130010,Prepayments,account.data_account_type_prepayments,False,default_chart_template
140010,140010,Software,account.data_account_type_fixed_assets,False,default_chart_template
140020,140020,Patents&Trademarks,account.data_account_type_fixed_assets,False,default_chart_template
140030,140030,Fixtures&Fittings,account.data_account_type_fixed_assets,False,default_chart_template
140040,140040,Land&Buildings,account.data_account_type_fixed_assets,False,default_chart_template
140050,140050,MotorVehicles,account.data_account_type_fixed_assets,False,default_chart_template
140060,140060,OfficeEquipment(inclcomputerequipment),account.data_account_type_fixed_assets,False,default_chart_template
140070,140070,Plant&Machinery,account.data_account_type_fixed_assets,False,default_chart_template
150010,150010,Non-currentassets,account.data_account_type_non_current_assets,False,default_chart_template
200010,200010,StockReceivedControlAccount,account.data_account_type_current_liabilities,True,default_chart_template
200020,200020,SundryCreditors,account.data_account_type_current_liabilities,False,default_chart_template
200030,200030,OtherCreditors,account.data_account_type_current_liabilities,False,default_chart_template
200040,200040,Accruals,account.data_account_type_current_liabilities,False,default_chart_template
200050,200050,Baddebtprovision,account.data_account_type_current_liabilities,False,default_chart_template
200060,200060,SalesTaxControlAccount,account.data_account_type_current_liabilities,False,default_chart_template
200070,200070,ManualAdjustments&VAT,account.data_account_type_current_liabilities,False,default_chart_template
200080,200080,Loans,account.data_account_type_current_liabilities,False,default_chart_template
200090,200090,HirePurchase,account.data_account_type_current_liabilities,False,default_chart_template
200100,200100,Mortgages,account.data_account_type_current_liabilities,False,default_chart_template
210010,210010,CompanyCreditCard,account.data_account_type_credit_card,False,default_chart_template
220010,220010,CreditorsControlAccount,account.data_account_type_payable,True,default_chart_template
220020,220020,SARS-VATAccount,account.data_account_type_payable,True,default_chart_template
220030,220030,P.A.Y.E.&UIF,account.data_account_type_payable,True,default_chart_template
220040,220040,NetWages,account.data_account_type_payable,True,default_chart_template
220050,220050,PensionFund,account.data_account_type_payable,True,default_chart_template
220060,220060,CorporationTax,account.data_account_type_payable,True,default_chart_template
300010,300010,Calledupsharecapital,account.data_account_type_equity,False,default_chart_template
300020,300020,Sharepremiumaccount,account.data_account_type_equity,False,default_chart_template
300030,300030,Revaluationreserve,account.data_account_type_equity,False,default_chart_template
300040,300040,Otherreserves,account.data_account_type_equity,False,default_chart_template
300050,300050,Capital,account.data_account_type_equity,False,default_chart_template
