id,code,name,user_type_id:id,chart_template_id:id,reconcile
chart0111,0111,Bienesyvaloresentregados,account.data_account_off_sheet,pe_chart_template,False
chart0112,0112,Derechossobreinstrumentosfinanciero,account.data_account_off_sheet,pe_chart_template,False
chart0113,0113,Otrascuentasdeordendeudora,account.data_account_off_sheet,pe_chart_template,False
chart0114,0114,Deudorasporcontra,account.data_account_off_sheet,pe_chart_template,False
chart0126,0126,Bienesyvaloresrecibido,account.data_account_off_sheet,pe_chart_template,False
chart0127,0127,Compromisossobreinstrumentosfinancieros,account.data_account_off_sheet,pe_chart_template,False
chart0128,0128,Otrascuentasdeordenacreedoras,account.data_account_off_sheet,pe_chart_template,False
chart0129,0129,Acreedorasporcontra,account.data_account_off_sheet,pe_chart_template,False
chart0211,0211,Bienesyvaloresentregados,account.data_account_off_sheet,pe_chart_template,False
chart0213,0213,Derechossobreinstrumentosfinancieros,account.data_account_off_sheet,pe_chart_template,False
chart0214,0214,Otrascuentasdeordendeudoras,account.data_account_off_sheet,pe_chart_template,False
chart0215,0215,Contrapartidacuentasdeordendeudora,account.data_account_off_sheet,pe_chart_template,False
chart0226,0226,Bienesyvaloresrecibidos,account.data_account_off_sheet,pe_chart_template,False
chart0227,0227,Compromisossobreinstrumentosfinancieros,account.data_account_off_sheet,pe_chart_template,False
chart0228,0228,Otrascuentasdeordenacreedoras,account.data_account_off_sheet,pe_chart_template,False
chart0229,0229,Contrapartidacuentasdeordenacreedoras,account.data_account_off_sheet,pe_chart_template,False
chart101,101,Caja,account.data_account_type_liquidity,pe_chart_template,False
chart102,102,Fondosfijos,account.data_account_type_liquidity,pe_chart_template,False
chart1031,1031,Fondosfijos-Efectivoentránsito,account.data_account_type_liquidity,pe_chart_template,False
chart1032,1032,Fondosfijos-Chequesentránsito,account.data_account_type_liquidity,pe_chart_template,False
chart1041,1041,Cuentascorrienteseninstitucionesfinancieras-Cuentascorrientesoperativas,account.data_account_type_liquidity,pe_chart_template,False
chart1042,1042,Cuentascorrienteseninstitucionesfinancieras-Cuentascorrientesparafinesespecíficos,account.data_account_type_liquidity,pe_chart_template,False
chart1051,1051,Otrosequivalentesdeefectivo-Otroequivalentesdeefectivo,account.data_account_type_liquidity,pe_chart_template,False
chart1061,1061,Depósitoseninstitucionesfinancieras-Depósitosdeahorro,account.data_account_type_liquidity,pe_chart_template,False
chart1062,1062,Depósitoseninstitucionesfinancieras-Depósitosaplazo,account.data_account_type_liquidity,pe_chart_template,False
chart1071,1071,Fondossujetosarestricción-Fondosengarantía,account.data_account_type_liquidity,pe_chart_template,False
chart1072,1072,Fondossujetosarestricción-Fondosretenidospormandatodelaautoridad,account.data_account_type_liquidity,pe_chart_template,False
