"id","code","name","user_type_id/id","tag_ids/id","reconcile","chart_template_id/id"
"no_a_cash","1000","Forskningogutvikling","account.data_account_type_current_assets","","False","no_chart_template"
"chart1010","1010","Forskningogutvikling,egenutviklet","account.data_account_type_current_assets","","False","no_chart_template"
"chart1020","1020","Konsesjoner","account.data_account_type_current_assets","","False","no_chart_template"
"chart1030","1030","Patenter","account.data_account_type_current_assets","","False","no_chart_template"
"chart1040","1040","Lisenser","account.data_account_type_current_assets","","False","no_chart_template"
"chart1050","1050","Varemerker","account.data_account_type_current_assets","","False","no_chart_template"
"chart1060","1060","Andrerettigheter","account.data_account_type_current_assets","","False","no_chart_template"
"chart1070","1070","Utsattskattefordel","account.data_account_type_current_assets","","False","no_chart_template"
"chart1080","1080","Goodwill","account.data_account_type_current_assets","","False","no_chart_template"
"chart1100","1100","Bygninger","account.data_account_type_current_assets","","False","no_chart_template"
"chart1120","1120","Bygningsmessigeanlegg","account.data_account_type_current_assets","","False","no_chart_template"
"chart1130","1130","Anleggunderutførelse","account.data_account_type_current_assets","","False","no_chart_template"
"chart1140","1140","Jord-ogskogbrukseiendommer","account.data_account_type_current_assets","","False","no_chart_template"
"chart1150","1150","Tomterogandregrunnarealer","account.data_account_type_current_assets","","False","no_chart_template"
"chart1160","1160","Boligerinklusivetomter","account.data_account_type_current_assets","","False","no_chart_template"
"chart1190","1190","Andreanleggsmidler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1200","1200","Maskineroganlegg","account.data_account_type_current_assets","","False","no_chart_template"
"chart1210","1210","Maskineroganleggunderutførelse","account.data_account_type_current_assets","","False","no_chart_template"
"chart1220","1220","Skip,rigger,fly","account.data_account_type_current_assets","","False","no_chart_template"
"chart1230","1230","Biler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1239","1239","Vogntog,lastebilerogbusser","account.data_account_type_current_assets","","False","no_chart_template"
"chart1240","1240","Andretransportmidler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1249","1249","Andretransportmidler","account.data_account_type_current_assets","","False","no_chart_template"
"chart1250","1250","Inventar","account.data_account_type_current_assets","","False","no_chart_template"
"chart1260","1260","Fastbygningsinventarmedannenavskrivning","account.data_account_type_current_assets","","False","no_chart_template"
"chart1270","1270","Verktøymv.","account.data_account_type_current_assets","","False","no_chart_template"
"chart1280","1280","Kontormaskiner","account.data_account_type_current_assets","","False","no_chart_template"
