"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"ua_psbp_100",100,"Інвестиційнанерухомість","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_101",101,"Земельніділянки","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_102",102,"Капітальнівитратинаполіпшення земель","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_103",103,"Будинкитаспоруди","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_104",104,"Машинитаобладнання","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_105",105,"Транспортнізасоби","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_106",106,"Інструменти,приладитаінвентар","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_107",107,"Тварини","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_108",108,"Багаторічнінасадження","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1091",1091,"Іншіосновнізасоби","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1092",1092,"Основнізасобипризначенідляпродажу","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_111",111,"Бібліотечніфонди","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_112",112,"Малоціннінеоборотніматеріальніактиви","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_113",113,"Тимчасові(нетитульні)споруди","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_114",114,"Природніресурси","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_115",115,"Інвентарнатара","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_116",116,"Предметипрокату","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1171",1171,"Іншінеоборотніматеріальніактиви","account.data_account_type_fixed_assets",FALSE,"l10n_ua_psbo_chart_template"
