"id","code","name","user_type_id/id","reconcile",chart_template_id/id
"chart_hu_111",111,"Alapítás-átszervezésaktíváltértéke","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_112",112,"Kísérletifejlesztésaktíváltértéke","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_113",113,"Vagyoniértékûjogok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_114",114,"Szellemitermékek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_115",115,"Üzletivagycégérték","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_117",117,"Immateriálisjavakértékhelyesbítése","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_121",121,"Földterület","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_122",122,"Telek,telkesítés","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_123",123,"Épületek,tulajdonihányadok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_124",124,"Egyébépítmények","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_125",125,"Üzemkörönkivüliingatlanok,épületek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_126",126,"Ingatlanhozkapcs.vagyoniért.jogok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_127",127,"Ingatlanokértékhelyesbítése","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_131",131,"Termelõgépek,gyártóeszk.","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_132",132,"Termelésbenrésztvevõjármûvek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_137",137,"Müszakigépek,járm.értékhelyesb.","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_141",141,"Üzemiberendezések,felszerelések","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_142",142,"Egyébjármûvek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_143",143,"Irodai,igazgatásiberendezések","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_144",144,"Üzemkörönkivüliberendezések,felsz.","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_147",147,"Egyébgépek,járm.értékhelyesbítés","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_151",151,"Tenyészállatok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_161",161,"Befejezetlenberuházások","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_162",162,"Felújítások","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_168",168,"Beruházásoktervenfelüliértékcsökk.","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_171",171,"Tartósrészesedéskapcs.vállalkozásban","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_172",172,"Egyébtartósrészesedés","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_177",177,"Részesedésekértékhelyesbítése","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_179",179,"Részesedésekértékvesztése,visszaírása","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_181",181,"Államkötvények","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_182",182,"Kapcsoltvállalkozásokértékpapírjai","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_183",183,"Egyébvállalkozásokértékpapírjai","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_184",184,"Tartósdiszkontértékpapírok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_189",189,"Értékpapírokértékvesztése,visszaírása","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_191",191,"Tartósanadottkölcsönökkapcs.váll.","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_192",192,"Tartósanadottkölcsönegyébrész.váll.","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_193",193,"Egyébtartósanadottkölcsönök","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_195",195,"Tartósbankbetétekkapcs.váll.-ban","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_196",196,"Tartósbankbetétekegyébrész.váll.-ban","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_197",197,"Egyébtartósbankbetétek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_198",198,"Pénzügyilízingmiattitartóskövetelés","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_199",199,"Tartósanadottkölcsönökértékvesztése","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_211",211,"Nyers-ésalapanyagok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_221",221,"Segédanyagok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_231",231,"Befejezetlentermelés","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_251",251,"Késztermékek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_261",261,"Árukbeszerzésiáron","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_271",271,"Közvetítettszolgáltatások","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_281",281,"Betétdíjasgöngyölegek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_311",311,"Belföldikövetelések","account.data_account_type_receivable","TRUE",hungarian_chart_template
"chart_hu_312",312,"Belföldikövetelések(PoS)","account.data_account_type_receivable","TRUE",hungarian_chart_template
"chart_hu_316",316,"Külföldikövetelések","account.data_account_type_receivable","TRUE",hungarian_chart_template
"chart_hu_351",351,"Adottelõlegek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_361",361,"Munkavállalókkalszembenikövetelés","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_368",368,"Különféleegyébkövetelések","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_371",371,"Részesedéskapcsoltvállalkozásban","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_372",372,"Egyébrészesedés","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_373",373,"Sajátrészvények,sajátüzletrészek","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_374",374,"Forgatásicélúhitelv.m.értékpapírok","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_382",382,"Valutapénztár","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_385",385,"Elkülönítettbetétszámlák","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_386",386,"Devizabetétszámla","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_387",387,"Pénzhelyettesítõeszk.(utalvány,jegy)","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_391",391,"Aktívidõbelielhatárolása","account.data_account_type_current_assets","FALSE",hungarian_chart_template
"chart_hu_411",411,"Jegyzetttõke","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_412",412,"Tõketartalék","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_413",413,"Eredménytartalék","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_414",414,"Lekötötttartalék","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_417",417,"Értékelésitartalék","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_419",419,"Mérlegszerintieredmény","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_421",421,"Céltartalékvárhatókötelezettségre","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_431",431,"Hátrasoroltkötelezettség","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_441",441,"Hosszúlejáratrakapottkölcsönök","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_442",442,"Átváltoztathatókötvények","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_443",443,"Tartozásokkötvénykibocsátásból","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_444",444,"Beruházásiésfejlesztésihitelek","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_445",445,"Egyébhosszúlejáratúhitelek","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_446",446,"Tartósköt.kapcs.vállalkozássalsz.","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_447",447,"Tartósköt.egyébrész.váll.szemben","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_448",448,"Pénzügyilízinggelkapcsolatoskötelez.","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_449",449,"Egyébhosszúlej.kötelezettségek","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_451",451,"Rövidlejáratúkölcsönök","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_452",452,"Rövidlejáratúhitelek","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_453",453,"Vevõktõlkapottelõlegek","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_4541",4541,"Belföldiszállítók","account.data_account_type_payable","TRUE",hungarian_chart_template
"chart_hu_4542",4542,"Külföldiszállítók","account.data_account_type_payable","TRUE",hungarian_chart_template
"chart_hu_461",461,"Társaságiadóésosztalékadóelszámolás","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_462",462,"Személyijövedelemadóelszámolása","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
"chart_hu_463",463,"Költségvetésibefizetésikötelezettségek","account.data_account_type_current_liabilities","FALSE",hungarian_chart_template
