"id","name","code","chart_template_id/id","user_type_id/id","reconcile"
"chart_cz_012000","Nehmotnévýsledkyvýzkumuavývoje","012000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_013000","Software","013000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_014000","Ostatníocenitelnápráva","014000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_015000","Goodwill","015000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_016000","Povolenkynaemise","016000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_017000","Preferenčnílimity","017000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_019000","Ostatnídlouhodobýnehmotnýmajetek","019000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_021000","Stavby","021000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_022000","Hmotnémovitévěciajejichsoubory","022000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_025000","Pěstitelskécelkytrvalýchporostů","025000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_026000","Dospělázvířataajejichskupiny","26000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_027000","Oceňovacírozdílknabytémumajetku","027000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_029000","Jinýdlouhodobýhmotnýmajetek","029000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_031000","Pozemky","031000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_032000","Uměleckádílaasbírky","032000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_041000","Pořízenídlouhodobéhonehmotnéhomajetku","041000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_042000","Pořízenídlouhodobéhohmotnéhomajetku","042000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_043000","Pořízenídlouhodobéhofinančníhomajetku","043000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_051000","Poskytnutézálohynadlouhodobýnehmotnýmajetek","051000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_052000","Poskytnutézálohynadlouhodobýhmotnýmajetek","052000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_055000","Poskytnutézálohynadlouhodobýfinančnímajetek","055000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
"chart_cz_061000","Podíly-ovládanáaovládajicíosoba","061000","l10n_cz.cz_chart_template","account.data_account_type_non_current_assets","False"
