id,code,name,user_type_id/id,reconcile,chart_template_id:id
lu_2011_account_101,101,Subscribedcapital,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_102,102,Subscribedcapitalnotcalled,account.data_account_type_fixed_assets,FALSE,lu_2011_chart_1
lu_2011_account_103,103,Subscribedcapitalcalledbutunpaid,account.data_account_type_fixed_assets,FALSE,lu_2011_chart_1
lu_2020_account_104,104,"Capitalofindividualcompanies,corporatepartnershipsandsimilar",account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_105,105,Endowmentofbranches,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_10611,10611,Cashwithdrawals(dailylife),account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_10612,10612,"Withdrawalsofmerchandise,finishedproductsandservices(atcost)",account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_10613,10613,Privateshareofmedicalservicesexpenses,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106141,106141,Lifeinsurance,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106142,106142,Accidentinsurance,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106143,106143,Fireinsurance,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106144,106144,Third-partyinsurance,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106145,106145,Fullcoverageinsurance,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106148,106148,Otherprivateinsurancepremiums,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106151,106151,SocialSecurity,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106152,106152,Childbenefitoffice,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106153,106153,Healthinsurancefunds,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106154,106154,Deathandotherhealthinsurancefunds,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106158,106158,Othercontributions,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106161,106161,Wages,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106162,106162,Rent,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106163,106163,"Heating,gas,electricity",account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106164,106164,Water,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106165,106165,Telephone,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106166,106166,Car,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106168,106168,Otherinkindwithdrawals,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106171,106171,Privatefurniture,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106172,106172,Privatecar,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106173,106173,Privateheldsecurities,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106174,106174,Privatebuildings,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106178,106178,Otheracquisitions,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106181,106181,Incometaxpaid,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106183,106183,Municipalbusinesstax-paymentinarrears,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106188,106188,Othertaxes,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106191,106191,Repairstoprivatebuildings,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106192,106192,Depositsonprivatefinancialaccounts,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106193,106193,Refundofprivatedebts,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106194,106194,Giftsandallowancetochildren,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106195,106195,Inheritancetaxesandmutationtaxduetodeath,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106198,106198,Otherspecialprivatewithdrawals,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_10621,10621,Inheritanceordonation,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_10622,10622,Personalholdings,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_10623,10623,Privateloans,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106241,106241,Privatefurniture,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106242,106242,Privatecar,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106243,106243,Privateshares/bonds,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106244,106244,Privatebuildings,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_106248,106248,Otherdisposals,account.data_account_type_equity,FALSE,lu_2011_chart_1
lu_2011_account_10625,10625,Receivedrents,account.data_account_type_equity,FALSE,lu_2011_chart_1
