id,code,name,user_type_id/id,tag_ids/id,reconcile,chart_template_id:id
account_template_1001_0101,10010101,Бэлэнмөнгө,account.data_account_type_liquidity,,0,mn_chart_1
account_template_1003_0101,10030101,Жижигмөнгөнсан,account.data_account_type_liquidity,,0,mn_chart_1
account_template_1101_0101,11010101,Банкиндбайгаамөнгө,account.data_account_type_liquidity,,0,mn_chart_1
account_template_1103_0101,11030101,Хугацаагүйхадгаламж,account.data_account_type_liquidity,,0,mn_chart_1
account_template_1104_0101,11040101,Банкнытөлбөрийнтемринал,account.data_account_type_liquidity,,0,mn_chart_1
account_template_1109_0101,11090101,Замдяваамөнгө,account.data_account_type_current_assets,,1,mn_chart_1
account_template_1110_0101,11100101,Бусадмөнгөтүүнтэйадилтгаххөрөнгө,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1201_0101,12010101,ХудалдааныавлагаААН,account.data_account_type_receivable,account_tag_operating_product,1,mn_chart_1
account_template_1201_0201,12010201,ХудалдааныавлагаХувьхүн,account.data_account_type_receivable,account_tag_operating_product,1,mn_chart_1
account_template_1201_0202,12010202,ХудалдааныавлагаХувьхүн(PoS),account.data_account_type_receivable,account_tag_operating_product,1,mn_chart_1
account_template_1201_0301,12010301,ХудалдааныавлагаХолбоотойтал,account.data_account_type_receivable,account_tag_operating_product,1,mn_chart_1
account_template_1202_0101,12020101,Авлагынбичиг,account.data_account_type_current_assets,account_tag_operating_product,0,mn_chart_1
account_template_1203_0101,12030101,Найдваргүйавлагынхасагдуулга,account.data_account_type_current_assets,account_tag_operating_product,0,mn_chart_1
account_template_1204_0101,12040101,УрьдчилжтөлсөнААНОАТатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0201,12040201,УрьдчилжтөлсөнХХОАТатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0301,12040301,УрьдчилжтөлсөнНӨАТатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0401,12040401,УрьдчилжтөлсөнГаалийналбантатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0501,12040501,УрьдчилжтөлсөнҮлхөдлөххөрөнгийналбантатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0601,12040601,УрьдчилжтөлсөнГазрынтөлбөр,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0701,12040701,УрьдчилжтөлсөнАТӨЯХАТатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0801,12040801,УрьдчилжтөлсөнАгаарынбохирдлынтатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_0901,12040901,УрьдчилжтөлсөнОнцгойалбантатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_1001,12041001,УрьдчилжтөлсөнБайгалийннөөцашиглалтынтөлбөр,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1204_9901,12049901,УрьдчилжтөлсөнБусадтатвар,account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1205_0101,12050101,"УрьдчилжтөлсөнЭМ,НДШ",account.data_account_type_current_assets,account_tag_operating_taxrefund,0,mn_chart_1
account_template_1205_0201,12050201,УрьдчилжтөлсөнСайндурындаатгалынхураамж,account.data_account_type_current_assets,account_tag_operating_insurance2,0,mn_chart_1
account_template_1206_0101,12060101,"Цалингийнурьдчилгаа,богинохугацаатзээл",account.data_account_type_receivable,account_tag_operating_employee,1,mn_chart_1
account_template_1206_0201,12060201,"Төлбөр,дутагдал",account.data_account_type_receivable,account_tag_operating_employee,1,mn_chart_1
account_template_1206_0301,12060301,ХудалдааныбусавлагаААН,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1206_0401,12060401,ХудалдааныбусавлагаХувьхүн,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1206_0501,12060501,ХудалдааныбусавлагаХолбоотойтал,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1206_0601,12060601,БогинохугацаатзээлийнавлагаААН,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1206_0701,12060701,БогинохугацаатзээлийнавлагаХувьхүн,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1206_0801,12060801,БогинохугацаатзээлийнавлагаХолбоотойтал,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1206_0901,12060901,Ногдолашгийнавлага,account.data_account_type_receivable,account_tag_investing_dividends,1,mn_chart_1
account_template_1206_1001,12061001,Барьцаалсанавлага,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1206_1101,12061101,Хүүнийавлага,account.data_account_type_receivable,account_tag_operating_interest,1,mn_chart_1
account_template_1206_1201,12061201,Үндсэнхөрөнгөхудалдааныавлага,account.data_account_type_receivable,account_tag_investing_fasset,1,mn_chart_1
account_template_1206_1301,12061301,Биетбусхөрөнгөхудалдааныавлага,account.data_account_type_receivable,account_tag_investing_iasset,1,mn_chart_1
account_template_1206_1401,12061401,Хөрөнгөоруулалтхудалдааныавлага,account.data_account_type_receivable,account_tag_investing_invest,1,mn_chart_1
account_template_1206_9901,12069901,Бусадхудалдааныбусавлага,account.data_account_type_receivable,account.account_tag_operating,1,mn_chart_1
account_template_1301_0101,13010101,Түргэнборлогдохүнэтцаас,account.data_account_type_current_assets,account.account_tag_financing,0,mn_chart_1
account_template_1301_0201,13010201,Хугацаатхадгаламж,account.data_account_type_current_assets,account.account_tag_financing,0,mn_chart_1
account_template_1302_0101,13020101,Бусаддэлгэрэнгүйорлогоболохбодитүнэцэнээрилэрхийлэхсанхүүгийнхөрөнгө,account.data_account_type_current_assets,account.account_tag_operating,0,mn_chart_1
account_template_1303_0101,13030101,Хорогдуулсанөртөгөөрилэрхийлэгдэхсанхүүгийнөртөг,account.data_account_type_current_assets,account.account_tag_operating,0,mn_chart_1
account_template_1401_0101,14010101,Агуулахадбайгаабарааматериал,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1401_0401,14010401,Татанавалтынөртөгийнзөрүү,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1401_0701,14010701,Амьтан,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1401_0801,14010801,Мал,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1401_0901,14010901,Ургамал,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1402_0101,14020101,Агуулахадбайгаатүүхийэдматериал,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1403_0301,14030301,Агуулахадбайгааүндсэнхөрөнгийнхэсэг,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1403_0401,14030401,Агуулахадбайгаахангамжийнматериал,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1403_0501,14030501,Ашиглалтандбайгаахангамжийнматериал,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1403_0502,14030502,Ашиглалтандбайгаахангамжийнматериалынэлэгдэл,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1404_0101,14040101,Дуусаагүйүйлдвэрлэл-Шуудматериал,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1404_0201,14040201,Дуусаагүйүйлдвэрлэл-Шуудхөдөлмөр,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1404_0301,14040301,Дуусаагүйүйлдвэрлэл-НЗ,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1404_0401,14040401,Хагасболовсруулсанбүтээгдэхүүн,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1405_0101,14050101,Агентадбайгаабараа,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1406_0101,14060101,Замдяваабараа,account.data_account_type_current_assets,,0,mn_chart_1
account_template_1407_0101,14070101,Иржбуйбарааныөртөгийнтүрданс,account.data_account_type_current_assets,,1,mn_chart_1
account_template_1408_0101,14080101,Гарчбуйбарааныөртөгийнтүрданс,account.data_account_type_current_assets,,1,mn_chart_1
account_template_1501_0101,15010101,Урьдчилжтөлсөнтүрээс,account.data_account_type_prepayments,account_tag_operating_cost,0,mn_chart_1
account_template_1501_0201,15010201,Урьдчилжтөлсөнхураамж,account.data_account_type_prepayments,account_tag_operating_loyalty,0,mn_chart_1
account_template_1501_0301,15010301,Урьдчилжтөлсөнцалин,account.data_account_type_prepayments,account_tag_operating_employee,0,mn_chart_1
account_template_1501_0901,15010901,Урьдчилжтөлсөнбусадзардал,account.data_account_type_prepayments,account.account_tag_operating,0,mn_chart_1
account_template_1502_0101,15020101,Бэлтгэннийлүүлэгчидтөлсөнурьдчилгаа,account.data_account_type_prepayments,account_tag_operating_product,0,mn_chart_1
account_template_1502_0201,15020201,"Дараатайлангийнурьдчилгаа,томилолт",account.data_account_type_prepayments,account_tag_operating_employee,0,mn_chart_1
account_template_1502_0301,15020301,Үндсэнхөрөнгөхудалданавахадтөлсөнурьдчилгаа,account.data_account_type_prepayments,account_tag_investing_fasset,0,mn_chart_1
account_template_1502_0401,15020401,Биетбусхөрөнгөхудалданавахадтөлсөнурьдчилгаа,account.data_account_type_prepayments,account_tag_investing_iasset,0,mn_chart_1
account_template_1502_0501,15020501,Хөрөнгөоруулалтхудалданавахадтөлсөнурьдчилгаа,account.data_account_type_prepayments,account_tag_investing_invest,0,mn_chart_1
account_template_1502_0601,15020601,Хангамжийнзүйлсхудалданавахадтөлсөнурьдчилгаа,account.data_account_type_prepayments,account_tag_operating_product,0,mn_chart_1
account_template_1502_0901,15020901,Бусадхудалдааныбусурьдчилгаа,account.data_account_type_prepayments,account.account_tag_operating,0,mn_chart_1
account_template_1601_0101,16010101,Бусадэргэлтийнхөрөнгө,account.data_account_type_current_assets,account.account_tag_operating,0,mn_chart_1
account_template_1701_0101,17010101,Борлуулахзорилгоорэзэмшижбуйэргэлтийнбусхөрөнгө,account.data_account_type_current_assets,account.account_tag_operating,0,mn_chart_1
account_template_2001_0101,20010101,Биетхөрөнгө-Газрынсайржуулалт,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2001_0201,20010201,Биетхөрөнгө-Газрынсайжруулалтынэлэгдэл,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2002_0101,20020101,"Биетхөрөнгө-Барилга,байгууламж",account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2002_0201,20020201,"Биетхөрөнгө-Барилга,байгууламжынэлэгдэл",account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2003_0101,20030101,Биетхөрөнгө-Машинтоногтөхөөрөмж,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2003_0201,20030201,Биетхөрөнгө-Машинтоногтөхөөрөмжийнэлэгдэл,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2004_0101,20040101,Биетхөрөнгө-Тээврийнхэрэгсэл,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2004_0201,20040201,Биетхөрөнгө-Тээврийнхэрэгслийнэлэгдэл,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2005_0101,20050101,Биетхөрөнгө-Тавилгаэдхогшил,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2005_0201,20050201,Биетхөрөнгө-Тавилгаэдхогшлынэлэгдэл,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2006_0101,20060101,"Биетхөрөнгө-Компьютер,дагалдаххэрэгсэл",account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2006_0201,20060201,"Биетхөрөнгө-Компьютер,дагалдаххэрэгслийнэлэгдэл",account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2008_0101,20080101,Биетхөрөнгө-Дуусаагүйбарилга,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2008_0201,20080201,Биетхөрөнгө-Дуусаагүйбарилгынэлэгдэл,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2009_0101,20090101,Биетхөрөнгө-Бусадхөрөнгө,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2009_0201,20090201,Биетхөрөнгө-Бусадхөрөнгийнэлэгдэл,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2101_0101,21010101,Биетбусхөрөнгө-Зохиогчийнэрх,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2101_0201,21010201,Биетбусхөрөнгө-Зохиогчийнэрхийнхорогдол,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2102_0101,21020101,Биетбусхөрөнгө-Програмхангамж,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2102_0201,21020201,Биетбусхөрөнгө-Програмхангамжынхорогдол,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2103_0101,21030101,Биетбусхөрөнгө-Патент,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2103_0201,21030201,Биетбусхөрөнгө-Патентынхорогдол,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2104_0101,21040101,Биетбусхөрөнгө-Бараанытэмдэг,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
account_template_2104_0201,21040201,Биетбусхөрөнгө-Бараанытэмдэгийнхорогдол,account.data_account_type_fixed_assets,,0,mn_chart_1
account_template_2105_0101,21050101,Биетбусхөрөнгө-Тусгайзөвшөөрөл,account.data_account_type_fixed_assets,account_tag_investing_fasset,0,mn_chart_1
